id,group,variable,type,value,unit,location,metadata,time,created_at
652d1d5de446db00096e1ea5,1697455453269,device_id,string,eui-50f8a500000103e3,,,,2023-10-16 11:24:13.298,2023-10-16 11:24:13.299
652d1d5de446db00096e1ea6,1697455453269,application_id,string,iot-csf-ifsc,,,,2023-10-16 11:24:13.299,2023-10-16 11:24:13.299
652d1d5de446db00096e1ea7,1697455453269,fport,number,1,,,,2023-10-16 11:24:13.299,2023-10-16 11:24:13.299
652d1d5de446db00096e1ea8,1697455453269,fcnt,number,158,,,,2023-10-16 11:24:13.299,2023-10-16 11:24:13.299
652d1d5de446db00096e1ea9,1697455453269,gateway_eui,string,0000F8033201A727,,,,2023-10-16 11:24:13.299,2023-10-16 11:24:13.299
652d1d5de446db00096e1eaa,1697455453269,rssi,number,-96,,,,2023-10-16 11:24:13.3,2023-10-16 11:24:13.3
652d1d5de446db00096e1eab,1697455453269,snr,number,-0.5,,,,2023-10-16 11:24:13.3,2023-10-16 11:24:13.3
652d1d5de446db00096e1eac,1697455453269,gateway_location,string,"-27.608081294592182,-48.633736499977516",,"{""type"": ""Point"", ""coordinates"": [-48.633736499977516, -27.608081294592182]}",,2023-10-16 11:24:13.301,2023-10-16 11:24:13.301
652d1d5de446db00096e1ead,1697455453269,frm_payload,string,7b224c756d696e6f736964616465223a33342c2254656d7065726174757261223a32342e32303030303037362c22556d6964616465223a38357d,,,,2023-10-16 11:24:13.301,2023-10-16 11:24:13.301
652d1d6ecea89e0009d21b0d,1697455470313,text,string,"{""Luminosidade"":32,""Temperatura"":24.20000076,""Umidade"":85}",,,,2023-10-16 11:24:30.35,2023-10-16 11:24:30.35
652d1d6ecea89e0009d21b0e,1697455470313,lora_bandwidth,number,125000,,,,2023-10-16 11:24:30.351,2023-10-16 11:24:30.351
652d1d6ecea89e0009d21b0f,1697455470313,lora_spreading_factor,number,7,,,,2023-10-16 11:24:30.351,2023-10-16 11:24:30.351
652d1d6ecea89e0009d21b10,1697455470313,lora_coding_rate,string,4/5,,,,2023-10-16 11:24:30.352,2023-10-16 11:24:30.352
652d1d6ecea89e0009d21b11,1697455470313,frequency,string,917400000,,,,2023-10-16 11:24:30.352,2023-10-16 11:24:30.352
652d1d6ecea89e0009d21b12,1697455470313,timestamp,number,4151634588,,,,2023-10-16 11:24:30.352,2023-10-16 11:24:30.352
